t	x	y
s	m	m
0	12.2606948583468	11.5088597962783
0.04	12.6076956562245	11.4510263299654
0.08	12.8968629877893	11.3353593973395
0.12	13.1860303193541	11.2775259310265
0.16	13.5330311172318	11.1618589984006
0.2	13.8221984487966	11.1040255320876
0.24	14.1113657803614	11.0461920657747
0.28	14.4005331119261	10.9305251331488
0.32	14.7475339098039	10.9305251331488
0.36	15.0945347076816	10.8148582005229
0.4	15.3837020392464	10.7570247342099
0.44	15.7307028371241	10.641357801584
0.48	16.0777036350019	10.583524335271
0.52	16.4247044328796	10.5256908689581
0.56	16.7138717644444	10.4100239363322
0.6	17.0608725623221	10.3521904700192
0.64	17.4078733601999	10.2365235373933
0.68	17.7548741580776	10.1786900710803
0.72	18.1018749559554	10.0630231384544
0.76	18.4488757538331	10.0051896721415
0.8	18.8537100180238	9.88952273951555
0.84	19.2007108159015	9.83168927320259
0.88	19.6055450800922	9.77385580688964
0.92	19.95254587797	9.65818887426372
0.96	20.2995466758477	9.54252194163781
1	20.7043809400384	9.48468847532485
1.04	21.1092152042291	9.36902154269894
1.08	21.4562160021068	9.25335461007303
1.12	21.8610502662975	9.19552114376007
1.16	22.2658845304882	9.07985421113416
1.2	22.7285522609919	8.90635381219529
1.24	23.1333865251826	8.90635381219529
1.28	23.4803873230603	8.79068687956937
1.32	23.885221587251	8.73285341325642
1.36	24.2900558514417	8.67501994694346
1.4	24.6948901156324	8.50151954800459
1.44	25.0997243798231	8.44368608169164
1.48	25.5623921103267	8.32801914906572
1.52	26.0828933071433	8.21235221643981
1.56	26.4298941050211	8.0966852838139
1.6	26.8925618355247	7.98101835118799
1.64	27.3552295660284	7.86535141856207
1.68	27.817897296532	7.80751795224912
1.72	28.2227315607227	7.6918510196232
1.76	28.8010662238523	7.51835062068433
1.8	29.2637339543559	7.40268368805842
1.84	29.7264016848596	7.34485022174546
1.88	30.2469028816762	7.1713498228066
1.92	30.7674040784928	6.99784942386773
1.96	31.2300718089965	6.88218249124181
2	31.7505730058131	6.7665155586159
2.04	32.2710742026297	6.65084862598999
2.08	32.6759084668204	6.59301515967703
2.12	33.196409663637	6.53518169336408
2.16	33.7169108604536	6.36168129442521
2.2	34.2374120572702	6.24601436179929
2.24	34.7000797877739	6.13034742917338
2.28	35.2205809845905	6.01468049654747
2.32	35.79891564772	5.89901356392155
2.36	36.2615833782237	5.78334663129564
2.4	36.7820845750403	5.72551316498269
2.44	37.3025857718569	5.55201276604382
2.48	37.8230869686735	5.49417929973086
2.52	38.3435881654901	5.37851236710495
2.56	38.8640893623067	5.26284543447903
2.6	39.4424240254363	5.14717850185312
2.64	39.9629252222529	4.97367810291425
2.68	40.5412598853825	4.80017770397538
2.72	41.0617610821991	4.74234423766243
2.76	41.6400957453286	4.62667730503651
2.8	42.2184304084582	4.5110103724106
2.84	42.7967650715877	4.39534343978469
2.88	43.3750997347173	4.22184304084582
2.92	43.9534343978469	4.10617610821991
2.96	44.5896025272894	3.93267570928104
3	45.167937190419	3.81700877665512
3.04	45.7462718535485	3.5856749114033
3.08	46.3246065166781	3.5856749114033
3.12	46.9607746461206	3.41217451246443
3.16	47.4812758429372	3.29650757983852
3.2	48.1752774386927	3.1808406472126
3.24	48.7536121018223	3.00734024827373
3.28	49.3897802312648	2.89167331564782
3.32	50.0259483607073	2.71817291670895
3.36	50.6621164901498	2.60250598408304
3.4	51.1826176869664	2.48683905145713
3.44	51.8766192827219	2.31333865251826
3.48	52.5706208784774	2.13983825357939
3.52	53.2646224742329	1.90850438832756
3.56	53.9007906036754	1.73500398938869
3.6	54.4791252668049	1.67717052307574
3.64	55.1731268625604	1.44583665782391
3.68	55.8671284583159	1.330169725198
3.72	56.5611300540714	1.09883585994617
3.76	57.1972981835139	1.04100239363322
3.8	57.8912997792694	0.925335461007303
3.84	58.4696344423989	0.694001595755477
